root_id,processed_labels
720575940604664800,"['transmedullary neuron Tm9, FBbt_00003797 (Fischbach and Dittrich 1989)', 'Tm11']"
720575940604671200,['Dm10; Distal medullary amacrine neuron 10; FBbt_00110135']
720575940604675430,"['ORN_VM7d; Or42a; FBbt_00067042', 'antennal lobe olfactory and thermo/hygrosensory receptor neuron (ALRN)']"
720575940604678880,['Distal medulla 8; Dm8']
720575940604681830,['Lobula Columnar neuron 9; LC9; Lcn9; FBbt_00100480']
720575940604684460,['Y3; FBbt_00003914']
720575940604685740,['Tm2: Transmedullary neuron 2; FBbt_00003790']
720575940604692070,"['Mi8; Medullary intrinsic neuron 8; FBbt_00003783', 'Mi9']"
720575940604699120,['T4b; FBbt_00003733']
720575940604704870,"['ORN_VC4; Or67c; FBbt_00067027', 'antennal lobe olfactory and thermo/hygrosensory receptor neuron (ALRN)']"
720575940604704940,['T5d; FBbt_00003740']
720575940604721120,"['Transmedullary neuron 20, Tm20, [FBbt_00003808] (Fischbach and Dittrich, 1989 and Neuprint)']"
720575940604732350,"['AOTU015', 'AOTUv1_medial', 'aSP16a']"
720575940604732640,"['T5d; FBbt_00003740', 'T4d']"
720575940604756000,"['CL340', 'DM4_medial']"
720575940604763360,['Mi13; Medullary intrinsic neuron 13; FBbt_00111283']
720575940604781490,"['T5b; FBbt_00003738', 'T5b, T5, T5b, Cholinergic, FBbt_00003738, missing part of soma']"
720575940604786860,['Mi15; Medullary intrinsic neuron 15; FBbt_00111285']
720575940604797100,"['Transmedullary 5b; Tm5b', 'Transmedullary 5; Tm5']"
720575940604820140,['Y3; FBbt_00003914']
720575940604839200,['AMMC-B1']
720575940604867500,['T2; FBbt_00003728']
720575940604885350,['Tm1; Transmedullary neuron 1; FBbt_00003789']
720575940604891360,['ascending neurons']
720575940604891680,['Mi8; Medullary intrinsic neuron 8; FBbt_00003783']
720575940604892640,['Transmedullary 20; Tm20']
720575940604898150,['TmY14; Transmedullary Y neuron 14; FBbt_00111286']
720575940604901310,['JO-MZ']
720575940604904160,['T2a; FBbt_00003729']
720575940604907710,"['Lobula Columnar Neuron LC15, FBbt_00111750']"
720575940604912770,['ascending_FW_129']
720575940604934980,['Retinula axon; R1-6']
720575940604946720,['T4d; FBbt_00003735']
720575940604947680,['Lamina monopolar 5; L5']
720575940604951840,['T4c; FBbt_00003734']
720575940604957920,['Mi9; Medullary intrinsic neuron 9; FBbt_00003784']
720575940604962220,['T5b; FBbt_00003738']
720575940604965600,['Y1; FBbt_00003912']
720575940604967270,"['ER2_b', 'ER2', 'ER2b; ER2abd']"
720575940604979680,['Y4; FBbt_00003915']
720575940604982450,"['aIP2a, put_AVL02v']"
720575940604984800,"['Retinula axon; R1-6', 'Retinula axon; R']"
720575940604991660,"['(new type) Transmedullary 113_M68-L5; Tm113_M68-L5', '(new type) Transmedullary 108_M68-L5; Tm108_M68-L5', '(new type) Transmedullary 100_M68-L5; Tm100_M68-L5']"
720575940604992480,['L2 Lamina Monopolar']
720575940604993760,['Transmedullary Y 5a; TmY5a']
720575940605002720,['Lamina monopolar 5; L5']
720575940605005280,['Mi4; Medullary intrinsic neuron 4; FBbt_00003779']
720575940605007550,"['Lobula Columnar Neuron LC15, FBbt_00111750']"
720575940605012140,"['T5d; FBbt_00003740', 'T5']"
720575940605017260,['Tm9; Transmedullary neuron 9; FBbt_00003797']
720575940605018540,['T4c; FBbt_00003734']
720575940605028320,['T2; FBbt_00003728']
720575940605041330,['DNp']
720575940605055660,['T4a; FBbt_00003732']
720575940605072300,['T3; FBbt_00003730']
720575940605076140,['Dm3; Distal medullary amacrine neuron 3; Fbbt_00003770']
720575940605078560,"['AL local neuron, ALLN']"
720575940605087520,"['Distal medullary 2; Dm2', 'Dm2']"
720575940605092700,['Mi1; Medullary intrinsic neuron 1; FBbt_00003776']
720575940605096550,['T5b; FBbt_00003738']
720575940605105580,['TmY20; Transmedullary Y neuron 20']
720575940605106110,['Mi4; Medullary intrinsic neuron 4; FBbt_00003779']
720575940605111230,['T3; FBbt_00003730']
720575940605111980,['L4 Lamina Monopolar']
720575940605115360,['Mi15; Medullary intrinsic neuron 15; FBbt_00111285']
720575940605116640,['Lamina monopolar 4; L4']
720575940605128550,['transmedullary neuron Tm9; Cholinergic; FBbt_00003797']
720575940605138860,['Dm3; Distal medullary amacrine neuron 3; Fbbt_00003770']
720575940605140070,['TmY4; Transmedullary Y neuron 4; FBbt_00003821']
720575940605157990,"['Tm3; Transmedullary neuron 3; Fischbach, K.F., Dittrich, A.P.M. (1989)']"
720575940605160550,['Retinula axon; R1-6']
720575940605162720,['Mi9; Medullary intrinsic neuron 9; FBbt_00003784']
720575940605164460,['T4b; FBbt_00003733']
720575940605169580,['Lamina monopolar 2; L2']
720575940605174700,['T5c; FBbt_00003739']
720575940605179360,"['Retinula axon; R7', 'R7']"
720575940605183660,['Lamina monopolar 5; L5']
720575940605191340,['Tm9; Transmedullary neuron 9; FBbt_00003797']
720575940605197740,['L3']
720575940605204140,"['Transmedullary 27Y; Tm27Y', 'Transmedullary Y 12; TmY12']"
720575940605204960,['T4d; FBbt_00003735']
720575940605213100,['JO-D']
720575940605218220,['unclassified_IN_FW_166']
720575940605219500,['JO-B']
720575940605223340,['Tm4; Transmedullary neuron 4; FBbt_00003792']
720575940605225900,['Transmedullary 20; Tm20']
720575940605244960,['Transmedullary 25; Tm25']
720575940605246850,"['Kenyon_cell, KC alpha beta, KC ab']"
720575940605248130,['VLPp&l1_posterior']
720575940605254880,['L4 Lamina Monopolar']
720575940605255270,['Tm1; Transmedullary neuron 1; FBbt_00003789']
720575940605262880,['Mi1; Medullary intrinsic neuron 1; FBbt_00003776']
720575940605265120,['Retinula axon 1-6; R1-6']
720575940605268140,['Lamina monopolar 3; L3']
720575940605279660,['Tm2; Transmedullary neuron 2; FBbt_00003790']
720575940605280870,['Mi10; Medullary intrinsic neuron 10; FBbt_00003785']
720575940605282220,['Transmedullary 5; Tm5']
720575940605286060,['Tm3; Transmedullary neuron 3; FBbt_00003791']
720575940605288480,['Mi1; Medullary intrinsic neuron 1; FBbt_00003776']
720575940605289900,"['Mi4; Medullary intrinsic neuron 4; FBbt_00003779', 'Medullary intrinsic neuron 4, Mi4, Mi4, FBbt_00003779 (Fischbach and Dittrich, 1989)']"
720575940605291040,['gustatory receptor neuron/GRN?']
720575940605291650,['Lobula Columnar neuron 12; LC12; Lcn12; FBbt_00100484']
720575940605292460,['Tm3; Transmedullary neuron 3; FBbt_00003791']
720575940605300140,"['Hugin-VNC', 'DNg']"
720575940605317600,['T5d; FBbt_00003740']
720575940605318880,['Lobula Columnar neuron 9; LC9; Lcn9; FBbt_00100480']
720575940605321760,['Y1; FBbt_00003912']
720575940605322370,['SLPpm2']
